species,reference,link
Aptenodytes forsteri,Ainley_etal_1994,https://doi.org/10.2307/5553
Pygoscelis adeliae,Ainley_etal_1994,https://doi.org/10.2307/5553
Macronectes giganteus,Ainley_etal_1994,https://doi.org/10.2307/5553
Fulmarus glacialoides,Ainley_etal_1994,https://doi.org/10.2307/5553
Thalassoica antarctica,Ainley_etal_1994,https://doi.org/10.2307/5553
Pagodroma nivea,Ainley_etal_1994,https://doi.org/10.2307/5553
Larus dominicanus,Ainley_etal_1994,https://doi.org/10.2307/5553
Aptenodytes patagonicus,Ainley_etal_1994,https://doi.org/10.2307/5553
Pygoscelis antarcticus,Ainley_etal_1994,https://doi.org/10.2307/5553
Thalassarche chrysostoma,Ainley_etal_1994,https://doi.org/10.2307/5553
Phoebetria palpebrata,Ainley_etal_1994,https://doi.org/10.2307/5553
Daption capense,Ainley_etal_1994,https://doi.org/10.2307/5553
Halobaena caerulea,Ainley_etal_1994,https://doi.org/10.2307/5553
Pachyptila vittata,Ainley_etal_1994,https://doi.org/10.2307/5553
Aphrodroma brevirostris,Ainley_etal_1994,https://doi.org/10.2307/5553
Eudyptes chrysolophus,Ainley_etal_1994,https://doi.org/10.2307/5553
Eudyptes chrysocome,Ainley_etal_1994,https://doi.org/10.2307/5553
Diomedea exulans,Ainley_etal_1994,https://doi.org/10.2307/5553
Thalassarche melanophris,Ainley_etal_1994,https://doi.org/10.2307/5553
Procellaria aequinoctialis,Ainley_etal_1994,https://doi.org/10.2307/5553
Pachyptila turtur,Ainley_etal_1994,https://doi.org/10.2307/5553
Pterodroma mollis,Ainley_etal_1994,https://doi.org/10.2307/5553
Fregetta tropica,Ainley_etal_1994,https://doi.org/10.2307/5553
Oceanites oceanicus,Ainley_etal_1994,https://doi.org/10.2307/5553
Sterna paradisaea,Ainley_etal_1994,https://doi.org/10.2307/5553
Arctocephalus gazella,Bestley_etal_2020,
Thalassarche melanophris,Bestley_etal_2020,
Pygoscelis adeliae,Bestley_etal_2020,
Lobodon carcinophaga,Bestley_etal_2020,
Aptenodytes forsteri,Bestley_etal_2020,
Ommatophoca rossii,Bestley_etal_2020,
Pygoscelis papua,Hinke_etal_2016,
Pygoscelis antarctica,Hinke_etal_2016,
Eubalaena australis,IMMA_2023,https://www.marinemammalhabitat.org/portfolio-item/scotia-arc/
Megaptera novaeangliaeÂ ,IMMA_2023,https://www.marinemammalhabitat.org/portfolio-item/scotia-arc/
Balaenoptera physalus,IMMA_2023,https://www.marinemammalhabitat.org/portfolio-item/scotia-arc/
Balaenoptera musculus intermedia,IMMA_2023,https://www.marinemammalhabitat.org/portfolio-item/scotia-arc/
Balaenoptera borealis,IMMA_2023,https://www.marinemammalhabitat.org/portfolio-item/scotia-arc/
Physeter macrocephalus,IMMA_2023,https://www.marinemammalhabitat.org/portfolio-item/scotia-arc/
Balaenoptera bonaerensis,IMMA_2023,https://www.marinemammalhabitat.org/portfolio-item/scotia-arc/
Globicephala melas,IMMA_2023,https://www.marinemammalhabitat.org/portfolio-item/scotia-arc/
Hyperoodon planifrons,IMMA_2023,https://www.marinemammalhabitat.org/portfolio-item/scotia-arc/
Hydrurga leptonyx,IMMA_2023,https://www.marinemammalhabitat.org/portfolio-item/scotia-arc/
Lagenorhynchus cruciger,IMMA_2023,https://www.marinemammalhabitat.org/portfolio-item/scotia-arc/
Leptonychotes weddellii,IMMA_2023,https://www.marinemammalhabitat.org/portfolio-item/scotia-arc/
Mirounga leonina,IMMA_2023,https://www.marinemammalhabitat.org/portfolio-item/scotia-arc/
Orcinus orca,IMMA_2023,https://www.marinemammalhabitat.org/portfolio-item/scotia-arc/