node,category,functional.group,Mass (g),Taxonomy,Lat.distribution,Depth.distribution,,
Acantharea,invertebrate,herbivore,1.00E-07,class,Both,All,,
Acanthephyra pelagica,invertebrate,omnivore,7.2,species,Both,Meso.down,,
Aetideus,invertebrate,omnivore,0.001028646,genus,Both,All,,
Alacia belgicae,invertebrate,omnivore,0.00044,species,South,Epipelagic,,
Alacia hettacra,invertebrate,omnivore,0.00044,species,Both,Mesopelagic,,
Alluroteuthis antarcticus,invertebrate,predator,29,species,Both,Mesopelagic,,
Aloricate ciliates,invertebrate,herbivore,1.00E-09,subphylum,Both,All,,
Amphidinium,producer,photoautotroph,1.63E-09,genus,Both,Epipelagic,,
Amphisolenia,producer,photoautotroph,1.95E-08,genus,Both,Epipelagic,,
Antarctomysis maxima,invertebrate,omnivore,0.721,species,Both,All,,
Appendicularia,invertebrate,filter-feeding,0.002574,class,Both,All,,
Arctozenus risso,vert.ecto,predator,0.30061572,species,Both,All,,
Atolla wyvillei,invertebrate,pelagic,31.75,species,Both,All,,
Austrinoecia isocheira,invertebrate,herbivore,3.39E-05,species,Both,Mesopelagic,,
Bacteria,invertebrate,detritivorous,1.00E-12,kingdom,Both,All,,
Bathylagus antarcticus,vert.ecto,predator,27,species,South,All,,
Bathyteuthis abyssicola,invertebrate,pelagic,3.5625,species,Both,All,,
Batoteuthis skolops,invertebrate,predator,9.951606564,species,Both,Meso.down,,
Benthalbella elongata,vert.ecto,predator,16.5,species,Both,Meso.down,,
Benthalbella macropinna,vert.ecto,predator,16.5,species,Both,Meso.down,,
Beroe,invertebrate,predator,58.835,genus,Both,All,,
Boroecia antipoda,invertebrate,herbivore,0.00044,species,Both,Mesopelagic,,
Borostomias antarcticus,vert.ecto,predator,23,species,Both,Meso.down,,
Brachioteuthis linkovskyi,invertebrate,predator,2.096781238,species,North,All,,
Brachioteuthis picta,invertebrate,predator,1.145992499,species,Both,All,,
Calanoides acutus,invertebrate,omnivore,0.0055,species,Both,Meso.up,,
Calanus australis,invertebrate,omnivore,0.004923359,species,North,Meso.down,,
Calanus propinquus,invertebrate,omnivore,0.0057,species,Both,Meso.up,,
Calanus simillimus,invertebrate,herbivore,0.006299604,species,North,Meso.up,,
Callianira,invertebrate,predator,5.6,genus,Both,All,,
Calycopsis borchgrevinki,invertebrate,pelagic,1.75,species,Both,All,,
Candacia,invertebrate,predator,0.009036203,genus,Both,All,,
Ceratium,Producer,photoautotroph,6.96E-09,species,Both,Epipelagic,,
Chaetoceros,Producer,photoautotroph,5.28E-09,species,Both,Epipelagic,,
Chiroteuthis veranyi,invertebrate,predator,36.42037116,species,North,Meso.down,,
Clausocalanus ingens,invertebrate,pelagic,0.000568886,species,North,Meso.up,,
Clausocalanus laticeps,invertebrate,pelagic,0.0003918,species,North,All,,
Clio piatkowskii,invertebrate,omnivore,0.017,species,Both,Epipelagic,,
Clio pyramidata,invertebrate,omnivore,0.017,species,Both,Epipelagic,,
Clione limacina,invertebrate,predator,0.014,species,Both,Epipelagic,,
Coccolitophorida,producer,photoautotroph,5.23E-10,,Both,Epipelagic,,
Codonellopsis,invertebrate,herbivore,0.00000001,species,Both,All,,
Conchoecilla chuni,invertebrate,omnivore,0.007540881,species,North,Mesopelagic,,
Conchoecissa symmetrica,invertebrate,omnivore,0.043712368,species,North,Meso.down,,
Corethron,producer,photoautotroph,1.45E-07,species,Both,Epipelagic,,
Corycaeus,invertebrate,omnivore,0.001005091,genus,Both,All,,
Crossota brunnea,invertebrate,predator,0.09,species,Both,Meso.down,,
Ctenocalanus citer,invertebrate,herbivore,0.000339649,species,North,All,,
Cyclothone,vert.ecto,predator,5.6,species,Both,Meso.down,,
Cyllopus lucasii,invertebrate,predator,0.32,species,Both,Epipelagic,,
Cyllopus magellanicus,invertebrate,predator,0.32,species,Both,Epipelagic,,
Cymatocylis,invertebrate,herbivore,1.00E-08,species,Both,All,,
Cynomacrurus piriei,vert.ecto,predator,46,species,Both,All,,
Cyphocaris faurei,invertebrate,omnivore,1.275,species,Both,All,,
Cyphocaris richardi,invertebrate,omnivore,2.21,species,Both,All,,
Dactyliosolen,producer,photoautotroph,1.41E-07,species,Both,Epipelagic,,
Desmonema glaciale,invertebrate,predator,35000,species,Both,Meso.up,,
Detritus,,,1.00E-08,,Both,All,,
Dimophyes arctica,invertebrate,predator,2,species,Both,All,,
Dinophysis,producer,photoautotroph,1.95E-08,species,Both,Epipelagic,,
Diphyes antarctica,invertebrate,predator,2.085,species,Both,All,,
Dissostichus eleginoides,vert.ecto,predator,6139.851984,species,Both,All,,
Drepanopus forcipatus,invertebrate,herbivore,0.002129287,species,North,Meso.up,,
Drepanopus pectinatus,invertebrate,herbivore,0.00284442,species,North,Meso.up,,
Dictyochophyceae,producer,photoautotroph,2.91E-10,class,Both,Epipelagic,,
Electrona antarctica,vert.ecto,predator,9.977898023,species,Both,All,,
Electrona carlsbergi,vert.ecto,predator,6.089721252,species,North,All,,
Electrona subaspera,vert.ecto,predator,6,species,North,All,,
Eucampia,producer,photoautotroph,6.91E-09,species,Both,Epipelagic,,
Euchirella rostrata,invertebrate,pelagic,0.005103151,species,South,All,,
Euchirella rostromagna,invertebrate,omnivore,0.037755878,species,Both,Meso.down,,
Eudoxoides spiralis,invertebrate,predator,0.25,species,Both,All,,
Eukrohnia hamata,invertebrate,omnivore,0.0052,species,Both,All,,
Euphausia crystallorophias,invertebrate,omnivore,0.249,species,South,Meso.up,,
Euphausia frigida,invertebrate,omnivore,0.17,species,Both,Meso.up,,
Euphausia superba,invertebrate,omnivore,1.448,species,Both,All,,
Euphausia triacantha,invertebrate,omnivore,0.6,species,Both,Mesopelagic,,
Euphausia vallentini,invertebrate,pelagic,0.17,species,North,Epipelagic,,
Eurythenes obesus,invertebrate,#N/A,0.37,species,Both,All,,
Eusiroides stenopleura,invertebrate,#N/A,0.1625,species,Both,All,,
Eusirus antarcticus,invertebrate,#N/A,0.047,species,South,All,,
Eusirus microps,invertebrate,Benthic-pelagic,0.699,species,South,All,,
Eusirus perdentatus,invertebrate,omnivore,19,species,Both,All,,
Filippovia knipovitchi,invertebrate,predator,389.8992585,species,Both,Meso.down,,
Foraminifera,invertebrate,herbivore,5.00E-06,phylum,Both,All,,
Fragilariopsis,producer,photoautotroph,2.38E-09,species,Both,Epipelagic,,
Gaetanus tenuispinus,invertebrate,omnivore,0.006361769,species,Both,All,,
Galiteuthis glacialis,invertebrate,predator,59.47221369,species,Both,All,,
Gennadas kempi,invertebrate,predator,0.734508485,species,Both,Meso.down,,
Gigantocypris muelleri,invertebrate,omnivore,1.22,species,Both,All,,
Gilia reticulata,invertebrate,predator,0.25,species,Both,Mesopelagic,,
Neognathophausia gigas,invertebrate,predator,0.6944,species,Both,Meso.down,,
Gonatus antarcticus,invertebrate,predator,428.255,species,Both,Meso.down,,
Grammatophora,producer,photoautotroph,1.98E-08,species,Both,Epipelagic,,
Gymnoscopelus bolini,vert.ecto,predator,21.92,species,Both,All,,
Gymnoscopelus braueri,vert.ecto,predator,25,species,Both,All,,
Gymnoscopelus fraseri,vert.ecto,predator,8.730329004,species,North,All,,
Gymnoscopelus hintonoides,vert.ecto,predator,25,species,North,All,,
Gymnoscopelus nicholsi,vert.ecto,predator,31.19,species,Both,All,,
Gymnoscopelus opisthopterus,vert.ecto,predator,36,species,Both,All,,
Gymnoscopelus piabilis,vert.ecto,predator,25,species,North,All,,
Halicreas minimum,invertebrate,predator,3.7,species,Both,Meso.down,,
Haloptilus ocellatus,invertebrate,pelagic,0.061213085,species,South,Meso.up,,
Hemiaulus,producer,photoautotroph,2.83E-08,species,Both,Epipelagic,,
Heterorhabdus austrinus,invertebrate,omnivore,0.00729348,species,Both,Meso.down,,
Hippopodiidae,invertebrate,predator,0.25,family,Both,All,,
Histioteuthis eltaninae,invertebrate,predator,20.18205188,species,Both,Meso.down,,
Hyperia macrocephala,invertebrate,omnivore,0.42,species,Both,Meso.up,,
Hyperiella antarctica,invertebrate,omnivore,0.0057,species,Both,Epipelagic,,
Hyperiella dilatata,invertebrate,omnivore,0.0057,species,Both,Epipelagic,,
Ihlea racovitzai,invertebrate,herbivore,0.0074,species,South,All,,
Kondakovia longimana,invertebrate,predator,330,species,Both,All,,
Krefftichthys anderssoni,invertebrate,predator,2.774373003,species,Both,All,,
Laackmanniella,invertebrate,herbivore,1.00E-10,species,Both,All,,
Lampanyctus,vert.ecto,predator,23.52,species,North,All,,
Lanceola,invertebrate,#N/A,0.249474085,species,Both,All,,
Limacina helicina,invertebrate,omnivore,0.0000272,species,Both,Epipelagic,,
Limacina retroversa,invertebrate,omnivore,0.0000272,species,Both,Epipelagic,,
Lucicutia,invertebrate,omnivore,0.082470562,species,Both,All,,
Marrus antarcticus,invertebrate,pelagic,0.174603175,species,Both,All,,
Martialia hyadesi,invertebrate,predator,330,species,North,All,,
Mastigoteuthis,invertebrate,predator,350,genus,Both,Meso.down,,
Megalocranchia,invertebrate,predator,350,genus,Both,All,,
Melanostigma gelatinosum,vert.ecto,predator,25,species,Both,All,,
Melosira,producer,photoautotroph,3.97E-10,species,Both,Epipelagic,,
Mesonychoteuthis hamiltoni,invertebrate,predator,110000,species,Both,Bathypelagic,,
Metaconchoecia skogsbergi,invertebrate,omnivore,0.000357382,species,Both,Mesopelagic,,
Metridia curticauda,invertebrate,omnivore,0.000560811,species,Both,Meso.down,,
Metridia gerlachei,invertebrate,omnivore,0.0023,species,Both,All,,
Metridia lucens,invertebrate,omnivore,0.00031229,species,Both,Meso.up,,
Microcalanus pygmaeus,invertebrate,herbivore,0.000152832,species,Both,All,,
Microsetella norvegica,invertebrate,herbivore,6.28E-05,species,Both,All,,
Muggiaea bargmannae,invertebrate,predator,0.25,species,Both,All,,
Nannobrachium achirus,vert.ecto,predator,23.94918332,species,Both,All,,
Nansenia antarctica,vert.ecto,predator,18.22634599,species,North,Meso.down,,
Nematocarcinus lanceopes,invertebrate,Benthic-pelagic,1.2,species,Both,All,,
Neocalanus tonsus,invertebrate,omnivore,0.011496973,species,North,All,,
Nitzschia,producer,photoautotroph,1.99E-09,species,Both,Epipelagic,,
Notolepis coatsi,vert.ecto,predator,24.26,species,Both,Mesopelagic,,
Notoscopelus resplendens,vert.ecto,predator,1.087010986,species,North,All,,
Obtusoecia antarctica,invertebrate,omnivore,0.000451304,species,North,Mesopelagic,,
Oithona frigida,invertebrate,omnivore,2.64E-05,species,Both,Epipelagic,,
Oithona similis,invertebrate,herbivore,2.26E-05,species,Both,Epipelagic,,
Oncaea curvata,invertebrate,herbivore,5.67E-05,species,Both,Meso.up,,
Oncaea parila,invertebrate,herbivore,5.40E-05,species,Both,Meso.down,,
Oncaea prolata,invertebrate,omnivore,5.31E-05,species,Both,Meso.down,,
Onykia ingens,invertebrate,predator,833.2436174,species,North,All,,
Pandea rubra,invertebrate,predator,3,species,Both,Meso.down,,
Pantachogon haeckeli,invertebrate,predator,1.7,species,Both,All,,
Paradiplospinus gracilis,vert.ecto,predator,12.36,species,Both,All,,
Paraeuchaeta antarctica,invertebrate,omnivore,0.073232063,species,Both,All,,
Paraeuchaeta barbata,invertebrate,predator,0.170219688,species,Both,Meso.down,,
Paraeuchaeta biloba,invertebrate,predator,0.036415174,species,Both,All,,
Paraeuchaeta rasa,invertebrate,omnivore,0.038528274,species,Both,Meso.down,,
Parandania boecki,invertebrate,predator,0.5,species,Both,Meso.down,,
Paraphyllina ransoni,invertebrate,pelagic,320,species,Both,All,,
Pasiphaea scotiae,invertebrate,pelagic,3.6845,species,Both,All,,
Pelagobia longicirrata,invertebrate,omnivore,0.0019,species,Both,All,,
Peridinium,producer,photoautotroph,8.36E-09,genus,Both,Epipelagic,,
Periphylla periphylla,invertebrate,pelagic,136,species,Both,All,,
Petalidium foliaceum,invertebrate,predator,1.164,species,Both,Meso.down,,
Phaeocystis,producer,photoautotroph,1.67E-10,genus,Both,Epipelagic,,
Phronima sedentaria,invertebrate,predator,0.821718027,species,Both,All,,
Plagiotropus,producer,photoautotroph,1.15E-08,species,Both,Epipelagic,,
Pleuragramma antarcticum,vert.ecto,predator,300,species,Both,All,,
Pleurobrachia,invertebrate,predator,1,genus,Both,All,,
Pleuromamma abdominalis,invertebrate,omnivore,0.005934363,species,Both,All,,
Pleuromamma antarctica,invertebrate,omnivore,0.008257302,species,Both,Meso.up,,
Pleuromamma robusta,invertebrate,omnivore,0.007095803,species,Both,Meso.down,,
Pleurosigma,producer,photoautotroph,2.17E-07,genus,Both,Epipelagic,,
Podocopida,invertebrate,herbivore,0.000329303,order,Both,All,,
Poromitra crassiceps,vert.ecto,predator,2.795145209,species,North,Meso.down,,
Porosira,producer,photoautotroph,1.48E-07,genus,Both,Epipelagic,,
Primno macropa,invertebrate,omnivore,0.24,species,Both,All,,
Prorocentrum,producer,photoautotroph,8.92E-10,genus,Both,Epipelagic,,
Protomyctophum andriashevi,vert.ecto,predator,0.625182754,species,North,All,,
Protomyctophum bolini,vert.ecto,predator,5.6,species,Both,All,,
Protomyctophum choriodon,vert.ecto,predator,3.442923367,species,Both,All,,
Protomyctophum luciferum,vert.ecto,predator,0.202037025,species,North,All,,
Protomyctophum parallelum,vert.ecto,predator,0.642366074,species,North,All,,
Protomyctophum tenisoni,vert.ecto,predator,0.495774963,species,North,All,,
Pseudoamallothrix cenotelis,invertebrate,omnivore,0.001886862,species,Both,All,,
Pseudoconchoecia serrulata,invertebrate,omnivore,0.000395838,species,North,Mesopelagic,,
Pseudo-nitzschia,producer,photoautotroph,3.51E-09,genus,Both,Epipelagic,,
Psychroteuthis glacialis,invertebrate,predator,770,species,Both,Meso.down,,
Ptychodiscus,producer,photoautotroph,1.63E-09,species,Both,Epipelagic,,
Pyrostephos vanhoeffeni,invertebrate,predator,0.1349,species,Both,All,,
Racovitzanus antarcticus,invertebrate,omnivore,0.001868211,species,Both,All,,
Rhabdonella,invertebrate,herbivore,1.00E-08,species,North,All,,
Rhincalanus gigas,invertebrate,omnivore,0.02,species,Both,All,,
Rhizosolenia,producer,photoautotroph,1.18E-07,genus,Both,Epipelagic,,
Rhynchonereella bongraini,invertebrate,omnivore,0.0019,species,Both,All,,
Rosacea plicata,invertebrate,predator,0.257646555,species,Both,All,,
Rotundoecia teretivalvata,invertebrate,omnivore,7.60E-05,species,North,Mesopelagic,,
Sagitta gazellae,invertebrate,predator,0.234,species,Both,All,,
Sagitta marri,invertebrate,predator,0.0013,species,Both,All,,
Salpa thompsoni,invertebrate,filter-feeding,0.14,species,Both,All,,
Scaphocalanus australis,invertebrate,pelagic,0.000610663,species,Both,All,,
Scaphocalanus farrani,invertebrate,omnivore,0.004348391,species,Both,Meso.down,,
Scaphocalanus vervoorti,invertebrate,omnivore,0.001373156,species,South,All,,
Scina,invertebrate,unknown,0.02844825,genus,Both,All,,
Scolecithricella minor,invertebrate,omnivore,0.000577092,species,Both,All,,
Sergestes,invertebrate,predator,1.164,species,Both,Meso.down,,
Slosarczykovia circumantarctica,invertebrate,predator,105.5953392,species,Both,All,,
Solmundella bitentaculata,invertebrate,predator,3.3,species,Both,All,,
Spinocalanus abyssalis,invertebrate,omnivore,0.000777936,species,Both,Meso.down,,
Spongiobranchaea australis,invertebrate,herbivore,0.13,species,Both,Epipelagic,,
Stenosemella,invertebrate,predator,1.43E-08,genus,Both,All,,
Stephanopyxis,producer,photoautotroph,1.86E-07,species,Both,Epipelagic,,
Stoloteuthis leucoptera,invertebrate,predator,0.1,species,Both,All,,
Stomias gracilis,vert.ecto,predator,10,species,Both,All,,
Stygiomedusa gigantea,invertebrate,pelagic,6500,species,Both,All,,
Subeucalanus longiceps,invertebrate,omnivore,0.017123038,species,North,Meso.up,,
Symbolophorus boops,vert.ecto,predator,4.778411151,species,North,All,,
Thalassionema,producer,photoautotroph,2.01E-10,family,Both,Epipelagic,,
Thalassiosira,producer,photoautotroph,9.03E-09,genus,Both,Epipelagic,,
Thalassiothrix,producer,photoautotroph,3.71E-08,genus,Both,Epipelagic,,
Themisto gaudichaudii,invertebrate,omnivore,0.12,species,Both,Meso.up,,
Thysanoessa macrura,invertebrate,omnivore,0.15,species,Both,Mesopelagic,,
Thysanoessa vicina,invertebrate,omnivore,0.021256543,species,Both,Meso.up,,
Tintinnopsis,invertebrate,herbivore,1.46E-08,species,North,All,,
Tomopteris planktonis,invertebrate,herbivore,0.001032553,species,Both,All,,
Tomopteris septentrionalis,invertebrate,omnivore,0.007090226,species,Both,All,,
Triconia antarctica,invertebrate,omnivore,0.000279058,species,Both,Meso.up,,
Vanadis,invertebrate,predator,0.103187589,genus,Both,All,,
Vibilia antarctica,invertebrate,omnivore,0.00011,species,Both,All,,
Zanclonia weldoni,invertebrate,predator,3,species,Both,Epipelagic,,
